"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940.65447083893","987.313199448192","1044.89188613062","1099.38588803798","1145.110166087","1206.36646705186","1260.7548952152","1315.46923329136","1372.95383934707","1429.9864525185","1511.90500588844","1597.58740614435","1658.80230934569","1746.12725782298","1861.51256285455","2019.73839563431","2195.29485460994","2388.10025160357","2554.85788238719","2675.25945926785","2833.69544368864","3051.26983271811","3434.27815090447","3691.10431102117","3972.50647733491","4212.23578089428","4579.13228682862","4882.60692615639","5490.15881865179","6047.12401504125","6640.58437331062","7441.06913961254","8450.54902533941","9147.7775066555","9646.76984383255","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7547.98203130235","7215.3390271308","6916.9614884505","7031.97169211548","7337.56505256554","7742.85741674653","6849.0021040768","5750.67799659654","6178.05769921083","5807.80054750818","6424.14537295881","6960.28610141959","7786.40436399963","8416.40773414609","9200.48242563727","10291.428291498","11405.5885694601","12821.840411182","14346.8484556532","14188.1048821302","14954.2543206827","15747.3476582908","16327.3382758143","16893.7689556096","17990.7621498811","18896.102861651","20745.8472094399","22317.2548948063","23997.6876896184","26765.7192049867","27351.8607448601","30959.1118459807","36320.1422295192","38829.1913208102","41969.4515718999","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26902.061145816","31657.3640438852","33648.226872634","37869.5046366226","37579.1686459873","38839.4365183712","40105.8476952372","40965.3457278065","42281.2952059673","43560.5377467354","45687.5217405647","46161.5758464288","45091.4894218656","45426.9345932944","46317.0284804025","47268.2721612188","48009.4917421504","49347.494619615","50330.3248622522","48625.6569231596","49254.5770084238","52677.4511190668","56712.5692656153","56310.3117458189","54299.0564613228","48034.2468880503","47428.9018907649","50184.5005767301","51993.1307818652","56599.5214364411","53436.0316999712","54954.6757895532","61677.6538492695","64171.0857359052","66941.2430367989","",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19817.3559352245","19296.1239133846","18635.9143047888","18780.8853879847","19440.9244516914","20377.3363160798","21287.3553874746","21606.2453220863","22555.7881905765","24183.5876637041","25421.6229400308","26351.0760257803","27171.3084133541","27030.8969356877","27659.5379539899","29142.9002176758","30401.5076891956","31232.1313724409","30678.6265531484","29196.6178474292","29624.975385096","30073.6769305961","31035.5500568874","30294.4768305201","31726.1740873862","32137.5784729905","32285.2760366069","34282.1710357791","35227.7619063243","36116.0002025353","27204.625909518","31064.6822166194","36791.4010460964","39090.1214737976","41197.9342548477","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1042.76704125702","975.132564102039","982.456940301934","1066.98886426775","1269.2975304953","1506.82892477444","2268.56289865693","3041.04198401472","3523.83173134224","3875.16532543495","4147.92009953318","4306.65243238352","4664.66989005718","4917.24213532278","5407.42779562896","5955.82944980971","6869.02619326211","7686.12870574572","8586.76034539604","8698.13506849581","9085.74294205836","9761.47624447272","10121.1905288877","10808.2715682853","11167.8379494776","11845.4522958172","12899.3962262974","13627.0944831749","14858.5590469909","16428.8136580107","16369.9353197836","18286.7373324233","21651.2952374862","23376.2227477141","25043.0886396127","",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5220.47473044041","5329.79780911608","4917.1211564349","4640.85663758565","4190.32389049471","3845.7068203495","4039.34042566187","4596.48615921538","5061.33499075145","5331.41743570722","5795.65223573862","6238.09862372757","6697.15436193606","7361.72161071026","8482.92020698503","9636.89112385763","10994.5981291041","12320.0240264282","13886.1314072566","14034.1911204499","15339.0999035972","16563.2014078209","18114.7508606708","19014.0529737698","19037.8847440186","18133.5313085883","17832.4778855815","18413.747563367","20025.9815543598","22301.5932411839","24872.3066744528","27611.1801135157","28429.4948821827","30834.1773668111","33010.3307605357","",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4467.10939538921","5052.73723386738","5705.79064932343","6074.89478682658","6072.66003740283","6090.87963612643","6087.14883018667","6242.51698431038","6333.37021359852","6790.43061599009","7543.73447178525","7851.62162856677","8153.66392623285","8849.64628939549","9244.91166156485","9466.1427445401","9909.68014440777","10225.986730898","9975.08124355363","9727.98868509362","9747.8256219459","9721.88084559988","9303.37857455225","9525.83089030578","9489.91221371385","9538.38691146009","9399.03567052789","9120.65338346029","9497.23480443418","10499.962073199","9638.89513695889","11716.3267818656","13461.2098451613","13729.892058721","14346.5188049737","",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35944.5383502772","35583.9918588002","36109.732857216","37812.9984919051","38603.8538837736","40917.6104146492","42545.1202187236","44995.7854570556","46915.8458365428","48798.9050127885","54176.377748356","59092.8759704678","58862.6907986795","61829.3240116897","64790.2739198061","67771.4683756141","73590.1160702265","77894.0646213844","77556.4350038925","73336.9875151545","72188.6928304585","70911.542318725","69149.0500342682","71519.6398526584","71988.5383627822","75943.4642970922","80412.1834895484","85680.9701917217","85978.2177227009","90984.4576708318","85146.4006275696","92319.6714861219","105142.409967183","114372.049927372","124252.835702586","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2796.6582759069","2980.73517857457","3036.28011808239","3177.29640267852","3331.48694317208","3493.83709216274","3644.90018385362","3821.80736532305","3988.09230594345","3991.49666336341","4113.04245150496","4204.93622748505","4303.83514661302","4432.92085269619","4662.97077714293","4937.86997682486","5244.16021230209","5536.56815653658","5889.94339081976","6024.05947397942","6245.33863197671","6597.96217604867","7183.82602452107","8068.72017230776","8628.94266128598","8757.31777115406","9242.02728323599","10420.3923250933","10758.4075594003","11005.3541169156","9580.98962081658","11202.4409836707","12306.7293128695","12892.1249578777","12877.6351184372","",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6687.92294838768","6866.63038059728","6869.41000551049","7259.98885683476","7727.24541738904","8096.91149194686","8300.63414154543","8601.60903057465","8598.80569222596","8634.60784577029","9091.76851349271","9303.64529208666","9616.59485486268","9801.9621245505","10525.7113782454","11081.2474735736","11750.5312437668","12672.5051158078","13445.2454698442","13390.6831313285","14451.7158388109","15211.7920390047","15198.086330971","15722.3335243701","15827.3081625749","14821.4383175183","14309.2061488342","14559.0488897884","15463.7426393743","16069.838015161","16101.6183062954","18075.7060048757","19876.8533531396","21175.6186988214","22338.4765640635","",
